year,share_65_plus,share_working_age,share_younger,migration_balance,migration_outflows,migration_inflows,eu_population,non_eu_population
2000,0.1587429172723426,0.6984527145195362,0.14280436820812115,833.1111111111111,4420.555555555556,5253.666666666666,88904.5,190531.25
2001,0.15982793469783302,0.6975470091241298,0.14262505617803706,668.3333333333334,4742.777777777777,5411.111111111111,90553.41666666669,194388.25
2002,0.16177843898497976,0.6946873250185089,0.14353423599651133,62.11111111111098,5095.333333333334,5157.444444444444,88541.16666666667,198751.33333333337
2003,0.16480130581724728,0.6909034162182677,0.14429527796448516,17.166666666666604,4746.333333333334,4763.5,89067,202720.83333333337
2004,0.16930468651431382,0.6854546616452614,0.1452406518404248,579.5555555555554,4577.055555555556,5156.611111111111,100090,191474.83333333337
2005,0.17345132973509975,0.6813535409160639,0.1451951293488363,829.5555555555555,4183,5012.555555555556,109688.5,187442.16666666663
2006,0.17518711874311615,0.6814276327376118,0.14338524851927203,603.0555555555554,4529.722222222223,5132.777777777777,113101.08333333331,189598.83333333337
2007,0.1760010407889987,0.6818316492685421,0.14216730994245919,1118.388888888889,4242.222222222223,5360.611111111111,124435.08333333331,183646.16666666663
2008,0.1771786092199083,0.6809932029581292,0.14182818782196255,862.2222222222223,4586.277777777777,5448.5,128186.58333333331,185044.16666666663
2009,0.1793439635183456,0.6783920867006881,0.14226394978096626,9.444444444444413,5550.111111111111,5559.555555555556,124813,182635.16666666663
2010,0.1798171124424299,0.6770650496409084,0.1431178379166616,1063.277777777778,4692.611111111111,5755.888888888889,127464.91666666669,184600.33333333337
2011,0.1779864633393393,0.6784731967878516,0.14354033987280915,1596.722222222222,4678.111111111111,6274.833333333334,137271.41666666666,189146.41666666663
2012,0.1774241314458044,0.6791769879402422,0.14339888061395342,1292.1666666666667,5163.833333333334,6456,151554.16666666666,193771.58333333337
2013,0.17701232541444445,0.6790738102401109,0.14391386434544465,968.5,5995.166666666666,6963.666666666666,176425.66666666666,186945.41666666663
2014,0.17651242815341972,0.6789925458362636,0.14449502601031664,1323.277777777778,5582.833333333334,6906.111111111111,201877.08333333337,181658.41666666663
2015,0.17550517829296422,0.6784744358980502,0.14602038580898555,1488.6111111111115,5449.666666666666,6938.277777777777,215768.41666666663,190849.16666666663
2016,0.17393168664630246,0.678787200782911,0.14728111257078655,787.111111111111,5921,6708.111111111111,224269.33333333337,205538.16666666663
2017,0.17354969919875407,0.6779231607493239,0.148527140051922,-1340.4444444444443,7635.5,6295.055555555556,223586,210153.5
2018,0.17331349269873658,0.6754978360522308,0.1511886712490327,474.22222222222194,5852.722222222223,6326.944444444444,216060.81818181815,211555.36363636365
2019,0.1721699888146015,0.6760829431058424,0.1517470680795561,602.2222222222218,5553.388888888889,6155.611111111111,219009.66666666663,219565.58333333337
2020,0.1720416698954194,0.675378148581299,0.15258018152328165,-192.33333333333343,5217.833333333334,5025.5,216394.5,228238
2021,0.1717024675656461,0.674686787144783,0.1536107452895709,-305.777777777778,6092.611111111111,5786.833333333334,214854,233273
2022,0.17041641973801577,0.6741968888071906,0.15538669145479356,1208.8888888888885,6183.333333333334,7392.222222222223,211482.16666666663,256711.91666666663
2023,0.1698445441013236,0.6746087051433634,0.15554675075531305,-167.05555555555566,6519.444444444444,6352.388888888888,206868.83333333337,268056
2024,0.1697878263154566,0.6756162173405162,0.15459595634402715,634,5209.5,5843.5,205515.75,279470.4166666667
