year,share_65_plus,share_working_age,share_younger,migration_balance,migration_outflows,migration_inflows,eu_population,non_eu_population
2000,100,100,100,100,100,100,100,100
2001,100.68350603865301,99.87032688447215,99.87443519247061,80.22139237129902,107.28917933894684,102.99684876171142,101.85470551734355,102.02433983926522
2002,101.91222497658232,99.46089557349384,100.51109626235417,7.455321419045063,115.26454693980143,98.16847492756384,99.59132177411342,104.31429664862503
2003,103.81647801930637,98.91913967197313,101.04402251490738,2.060549479861289,107.36961166268695,90.67000824820761,100.1827803991924,106.39768192007
2004,106.65337983165021,98.13902178285382,101.70602878810615,69.56521739130433,103.54027899962297,98.15261298986952,112.58147787794768,100.49523809523812
2005,109.26555509719094,97.55184950276345,101.67415126771955,99.57321952520672,94.62611537011436,95.41061269378002,123.37789425732106,98.37869990705809
2006,110.35901428128699,97.56245749669168,100.40676648651554,72.38596959189115,102.46952368983287,97.69896157181228,127.21637637389931,99.51062271062273
2007,110.8717439575888,97.62030200391911,99.553894412576,134.24246465724195,95.96581626241047,102.0356153374363,139.96488741664743,96.38637581324147
2008,111.61355244337426,97.50025861472707,99.31642120027034,103.49426513736996,103.74890033932385,103.7085210329294,144.1845838324644,97.12011371712862
2009,112.97761600957568,97.12784739727903,99.62156729942092,1.1336356361696414,125.552343848184,105.82238859632427,140.38996901169233,95.85575419605267
2010,113.27567587404985,96.93785070427563,100.21950988787935,127.62736729794615,106.15432952117632,109.55946111710342,143.37285139297413,96.88716855284022
2011,112.12245963325852,97.13946022166606,100.5153705547826,191.6577754067751,105.82631645092371,119.43721845060595,154.40322668331373,99.27317259854571
2012,111.76821901377303,97.24022454511416,100.41631247929743,155.10136036276342,116.81412592685687,122.88560370534867,170.4684989698684,101.70068339620582
2013,111.50880206564334,97.22545222080554,100.7769343131763,116.2510002667378,135.62020862133969,132.54869614872155,198.44402326841347,98.11798152096658
2014,111.19389210328758,97.21381730234104,101.18389782008038,158.83568951720463,126.29257257760464,131.45316498530127,227.0718392582303,95.34310863266086
2015,110.55937569287828,97.1396376295525,102.252044276529,178.68098159509208,123.28013070252607,132.06543578030158,242.69684511657636,100.16685801760428
2016,109.56815562857629,97.18441730874322,103.13487914889343,94.47852760736195,133.94244061832347,127.68436858913353,252.25869706632778,107.87635449127984
2017,109.3275228783963,97.06070957368466,104.00742072221527,-160.8962389970659,172.72715847681286,119.82213480532116,251.4900820543392,110.29870428079383
2018,109.17872474360315,96.71346706940699,105.87118107528224,56.921845825553454,132.39788865150183,120.42911828775671,243.02573905912314,111.03447000760434
2019,108.45837519744148,96.79723896139743,106.26220330907663,72.28594291811146,125.62649239663189,117.16790389780685,246.3426110789292,115.2386200863813
2020,108.37754077573187,96.69633098153106,106.84559823892317,-23.086156308348905,118.03569184365968,95.65700145929827,243.40106518792638,119.7903231097261
2021,108.16386048334354,96.59734626543735,107.56725947325411,-36.703120832221956,137.8245569938419,110.14846773681874,241.6683070035825,122.43293422994917
2022,107.35371547043316,96.52720574949286,108.810881210815,145.10536142971455,139.87683800427297,140.70596197364807,237.87566058710934,134.73480946913782
2023,106.99346277600203,96.58616698303263,108.92296412713462,-20.052013870365442,147.48020610782956,120.91343611868959,232.68657192080644,140.68873216335902
2024,106.95773344278734,96.73041614639166,108.25716207694789,76.10029341157643,117.8471785848938,111.22707950003175,231.1646204635311,146.6795691870319
