year,age_group,population
2000,noch nicht Schulpflichtige (0 bis 5 Jahre),65097
2000,Schulpflichtige (6 bis 14 Jahre),84870.33333333333
2000,Berufsschulpflichtige (15 bis 17 Jahre),27045.416666666668
2000,18 bis 64 Jahre,865765.0833333334
2000,Rentner*innen (65 Jahre und älter),196769.33333333334
2001,noch nicht Schulpflichtige (0 bis 5 Jahre),66452.83333333333
2001,Schulpflichtige (6 bis 14 Jahre),85674.75
2001,Berufsschulpflichtige (15 bis 17 Jahre),26884.583333333332
2001,18 bis 64 Jahre,875508.1666666666
2001,Rentner*innen (65 Jahre und älter),200603.91666666666
2002,noch nicht Schulpflichtige (0 bis 5 Jahre),67248.41666666667
2002,Schulpflichtige (6 bis 14 Jahre),86484.58333333333
2002,Berufsschulpflichtige (15 bis 17 Jahre),27391.333333333332
2002,18 bis 64 Jahre,876618.5833333333
2002,Rentner*innen (65 Jahre und älter),204146.5
2003,noch nicht Schulpflichtige (0 bis 5 Jahre),67343.08333333333
2003,Schulpflichtige (6 bis 14 Jahre),87329.5
2003,Berufsschulpflichtige (15 bis 17 Jahre),28215.416666666668
2003,18 bis 64 Jahre,875690.0833333334
2003,Rentner*innen (65 Jahre und älter),208878.5
2004,noch nicht Schulpflichtige (0 bis 5 Jahre),67491.33333333333
2004,Schulpflichtige (6 bis 14 Jahre),87880.5
2004,Berufsschulpflichtige (15 bis 17 Jahre),28911.333333333332
2004,18 bis 64 Jahre,869713.5
2004,Rentner*innen (65 Jahre und älter),214815.91666666666
2005,noch nicht Schulpflichtige (0 bis 5 Jahre),68228.08333333333
2005,Schulpflichtige (6 bis 14 Jahre),88378.66666666667
2005,Berufsschulpflichtige (15 bis 17 Jahre),29493.416666666668
2005,18 bis 64 Jahre,873307.5833333334
2005,Rentner*innen (65 Jahre und älter),222316.83333333334
2006,noch nicht Schulpflichtige (0 bis 5 Jahre),69239.25
2006,Schulpflichtige (6 bis 14 Jahre),88748.75
2006,Berufsschulpflichtige (15 bis 17 Jahre),29876.583333333332
2006,18 bis 64 Jahre,892812.3333333333
2006,Rentner*innen (65 Jahre und älter),229531.66666666666
2007,noch nicht Schulpflichtige (0 bis 5 Jahre),71112.66666666667
2007,Schulpflichtige (6 bis 14 Jahre),89401
2007,Berufsschulpflichtige (15 bis 17 Jahre),29900.75
2007,18 bis 64 Jahre,913223.8333333334
2007,Rentner*innen (65 Jahre und älter),235730.25
2008,noch nicht Schulpflichtige (0 bis 5 Jahre),73088.16666666667
