year,age_group,population,total_population,population_share
2000,noch nicht Schulpflichtige (0 bis 5 Jahre),65097,1239547.1666666667,0.05251675914443486
2000,Schulpflichtige (6 bis 14 Jahre),84870.33333333333,1239547.1666666667,0.06846882120795994
2000,Berufsschulpflichtige (15 bis 17 Jahre),27045.416666666668,1239547.1666666667,0.021818787855726343
2000,18 bis 64 Jahre,865765.0833333334,1239547.1666666667,0.6984527145195362
2000,Rentner*innen (65 Jahre und älter),196769.33333333334,1239547.1666666667,0.1587429172723426
2001,noch nicht Schulpflichtige (0 bis 5 Jahre),66452.83333333333,1255124.25,0.052945223019420846
2001,Schulpflichtige (6 bis 14 Jahre),85674.75,1255124.25,0.06825997505824623
2001,Berufsschulpflichtige (15 bis 17 Jahre),26884.583333333332,1255124.25,0.021419858100370007
2001,18 bis 64 Jahre,875508.1666666666,1255124.25,0.6975470091241298
2001,Rentner*innen (65 Jahre und älter),200603.91666666666,1255124.25,0.15982793469783302
2002,noch nicht Schulpflichtige (0 bis 5 Jahre),67248.41666666667,1261889.4166666665,0.05329184616216702
2002,Schulpflichtige (6 bis 14 Jahre),86484.58333333333,1261889.4166666665,0.06853578625121207
2002,Berufsschulpflichtige (15 bis 17 Jahre),27391.333333333332,1261889.4166666665,0.021706603583132252
2002,18 bis 64 Jahre,876618.5833333333,1261889.4166666665,0.6946873250185089
2002,Rentner*innen (65 Jahre und älter),204146.5,1261889.4166666665,0.16177843898497976
2003,noch nicht Schulpflichtige (0 bis 5 Jahre),67343.08333333333,1267456.5833333333,0.053132457725869504
2003,Schulpflichtige (6 bis 14 Jahre),87329.5,1267456.5833333333,0.06890137393923881
2003,Berufsschulpflichtige (15 bis 17 Jahre),28215.416666666668,1267456.5833333333,0.022261446299376857
2003,18 bis 64 Jahre,875690.0833333334,1267456.5833333333,0.6909034162182677
2003,Rentner*innen (65 Jahre und älter),208878.5,1267456.5833333333,0.16480130581724728
2004,noch nicht Schulpflichtige (0 bis 5 Jahre),67491.33333333333,1268812.5833333333,0.053192515758335994
2004,Schulpflichtige (6 bis 14 Jahre),87880.5,1268812.5833333333,0.06926200224869039
2004,Berufsschulpflichtige (15 bis 17 Jahre),28911.333333333332,1268812.5833333333,0.02278613383339843
2004,18 bis 64 Jahre,869713.5,1268812.5833333333,0.6854546616452614
2004,Rentner*innen (65 Jahre und älter),214815.91666666666,1268812.5833333333,0.16930468651431382
2005,noch nicht Schulpflichtige (0 bis 5 Jahre),68228.08333333333,1281724.5833333335,0.053231469709268654
2005,Schulpflichtige (6 bis 14 Jahre),88378.66666666667,1281724.5833333335,0.06895293093062439
2005,Berufsschulpflichtige (15 bis 17 Jahre),29493.416666666668,1281724.5833333335,0.023010728708943256
2005,18 bis 64 Jahre,873307.5833333334,1281724.5833333335,0.6813535409160639
2005,Rentner*innen (65 Jahre und älter),222316.83333333334,1281724.5833333335,0.17345132973509975
2006,noch nicht Schulpflichtige (0 bis 5 Jahre),69239.25,1310208.5833333333,0.0528459749697615
2006,Schulpflichtige (6 bis 14 Jahre),88748.75,1310208.5833333333,0.06773635215715972
