AUSPRAEGUNG,year,mean_population
afrikanisch,2000,8739.166666666666
afrikanisch,2001,9111.916666666666
afrikanisch,2002,9303
afrikanisch,2003,9470.333333333334
afrikanisch,2004,9557.666666666666
afrikanisch,2005,9705.666666666666
afrikanisch,2006,9952.25
afrikanisch,2007,10256.916666666666
afrikanisch,2008,10437.5
afrikanisch,2009,10423.583333333334
afrikanisch,2010,10920.666666666666
afrikanisch,2011,11575.5
afrikanisch,2012,12153.583333333334
afrikanisch,2013,12899.666666666666
afrikanisch,2014,14177.5
afrikanisch,2015,15547.916666666666
afrikanisch,2016,18392.166666666668
afrikanisch,2017,19373.583333333332
afrikanisch,2018,19648.090909090908
afrikanisch,2019,20601.083333333332
afrikanisch,2020,21426.583333333332
afrikanisch,2021,22083.666666666668
afrikanisch,2022,23471.083333333332
afrikanisch,2023,24367.583333333332
afrikanisch,2024,25484.833333333332
amerikanisch,2000,9304.416666666666
amerikanisch,2001,9957.75
amerikanisch,2002,10172
amerikanisch,2003,10274.75
amerikanisch,2004,10374.75
amerikanisch,2005,10795.666666666666
amerikanisch,2006,10988.166666666666
amerikanisch,2007,11416.25
amerikanisch,2008,11904.75
amerikanisch,2009,11523.166666666666
amerikanisch,2010,11769
amerikanisch,2011,12525.833333333334
amerikanisch,2012,13349.333333333334
amerikanisch,2013,13952.416666666666
amerikanisch,2014,14462.333333333334
amerikanisch,2015,14998.333333333334
amerikanisch,2016,15591.083333333334
amerikanisch,2017,15842.25
amerikanisch,2018,15830.363636363636
amerikanisch,2019,16616.333333333332
amerikanisch,2020,17169.416666666668
amerikanisch,2021,17567.583333333332
amerikanisch,2022,18433.833333333332
amerikanisch,2023,18627.916666666668
amerikanisch,2024,19472.916666666668
asiatisch,2000,24244.083333333332
asiatisch,2001,26754.333333333332
asiatisch,2002,29160.416666666668
asiatisch,2003,30984
asiatisch,2004,31812.25
asiatisch,2005,33136.333333333336
asiatisch,2006,34320.75
asiatisch,2007,34861.75
asiatisch,2008,35970.75
asiatisch,2009,36563.666666666664
asiatisch,2010,38231.5
asiatisch,2011,40570.916666666664
asiatisch,2012,42908
asiatisch,2013,46019.166666666664
asiatisch,2014,49587.25
asiatisch,2015,54795.5
asiatisch,2016,63817.25
asiatisch,2017,65882.75
asiatisch,2018,66668.54545454546
asiatisch,2019,70012.5
asiatisch,2020,71569.58333333333
asiatisch,2021,73489.16666666667
asiatisch,2022,79461.5
asiatisch,2023,83163.33333333333
asiatisch,2024,88033
australisch,2000,486
australisch,2001,569.75
australisch,2002,664.8333333333334
australisch,2003,710.9166666666666
australisch,2004,721.1666666666666
australisch,2005,753.25
australisch,2006,776.1666666666666
australisch,2007,804.8333333333334
australisch,2008,826
australisch,2009,804.75
australisch,2010,827.6666666666666
australisch,2011,921.1666666666666
australisch,2012,1008.25
australisch,2013,1080.5
australisch,2014,1153.1666666666667
australisch,2015,1198.0833333333333
australisch,2016,1225.25
australisch,2017,1159.25
australisch,2018,1072.090909090909
australisch,2019,1126.25
australisch,2020,1111.5833333333333
australisch,2021,1072.0833333333333
australisch,2022,1077.5
australisch,2023,1060.25
australisch,2024,1096.0833333333333
europäisch,2000,235773.33333333334
europäisch,2001,237690.08333333334
europäisch,2002,237135.5
europäisch,2003,239426.5
europäisch,2004,238157.25
europäisch,2005,241858.5
europäisch,2006,245807.25
europäisch,2007,249877.75
europäisch,2008,253246
europäisch,2009,247330.16666666666
europäisch,2010,249500.66666666666
europäisch,2011,259972.25
europäisch,2012,275076.8333333333
europäisch,2013,288585.75
europäisch,2014,303308.75
europäisch,2015,319223.5
europäisch,2016,329854.8333333333
europäisch,2017,330554.75
europäisch,2018,323476.54545454547
europäisch,2019,329310.3333333333
europäisch,2020,332446.5
europäisch,2021,333014.4166666667
europäisch,2022,344844.9166666667
europäisch,2023,346843.5833333333
europäisch,2024,350033.25
