MONATSZAHL,year,mean_population
EU-Staatsangehörigkeiten,2000,88904.5
EU-Staatsangehörigkeiten,2001,90553.41666666667
EU-Staatsangehörigkeiten,2002,88541.16666666667
EU-Staatsangehörigkeiten,2003,89067
EU-Staatsangehörigkeiten,2004,100090
EU-Staatsangehörigkeiten,2005,109688.5
EU-Staatsangehörigkeiten,2006,113101.08333333333
EU-Staatsangehörigkeiten,2007,124435.08333333333
EU-Staatsangehörigkeiten,2008,128186.58333333333
EU-Staatsangehörigkeiten,2009,124813
EU-Staatsangehörigkeiten,2010,127464.91666666667
EU-Staatsangehörigkeiten,2011,137271.41666666666
EU-Staatsangehörigkeiten,2012,151554.16666666666
EU-Staatsangehörigkeiten,2013,176425.66666666666
EU-Staatsangehörigkeiten,2014,201877.08333333334
EU-Staatsangehörigkeiten,2015,215768.41666666666
EU-Staatsangehörigkeiten,2016,224269.33333333334
EU-Staatsangehörigkeiten,2017,223586
EU-Staatsangehörigkeiten,2018,216060.81818181818
EU-Staatsangehörigkeiten,2019,219009.66666666666
EU-Staatsangehörigkeiten,2020,216394.5
EU-Staatsangehörigkeiten,2021,214854
EU-Staatsangehörigkeiten,2022,211482.16666666666
EU-Staatsangehörigkeiten,2023,206868.83333333334
EU-Staatsangehörigkeiten,2024,205515.75
Nicht-EU-Staatsangehörigkeiten,2000,190531.25
Nicht-EU-Staatsangehörigkeiten,2001,194388.25
Nicht-EU-Staatsangehörigkeiten,2002,198751.33333333334
Nicht-EU-Staatsangehörigkeiten,2003,202720.83333333334
Nicht-EU-Staatsangehörigkeiten,2004,191474.83333333334
Nicht-EU-Staatsangehörigkeiten,2005,187442.16666666666
Nicht-EU-Staatsangehörigkeiten,2006,189598.83333333334
Nicht-EU-Staatsangehörigkeiten,2007,183646.16666666666
Nicht-EU-Staatsangehörigkeiten,2008,185044.16666666666
Nicht-EU-Staatsangehörigkeiten,2009,182635.16666666666
Nicht-EU-Staatsangehörigkeiten,2010,184600.33333333334
Nicht-EU-Staatsangehörigkeiten,2011,189146.41666666666
Nicht-EU-Staatsangehörigkeiten,2012,193771.58333333334
Nicht-EU-Staatsangehörigkeiten,2013,186945.41666666666
Nicht-EU-Staatsangehörigkeiten,2014,181658.41666666666
Nicht-EU-Staatsangehörigkeiten,2015,190849.16666666666
Nicht-EU-Staatsangehörigkeiten,2016,205538.16666666666
Nicht-EU-Staatsangehörigkeiten,2017,210153.5
Nicht-EU-Staatsangehörigkeiten,2018,211555.36363636365
Nicht-EU-Staatsangehörigkeiten,2019,219565.58333333334
Nicht-EU-Staatsangehörigkeiten,2020,228238
Nicht-EU-Staatsangehörigkeiten,2021,233273
Nicht-EU-Staatsangehörigkeiten,2022,256711.91666666666
Nicht-EU-Staatsangehörigkeiten,2023,268056
Nicht-EU-Staatsangehörigkeiten,2024,279470.4166666667
