AUSPRAEGUNG,year,mean_population
bulgarisch,2000,1514.5833333333333
bulgarisch,2001,2034.3333333333333
bulgarisch,2002,2479.4166666666665
bulgarisch,2003,2986.5
bulgarisch,2004,3098.4166666666665
bulgarisch,2005,2930.5
bulgarisch,2006,2880.5
bulgarisch,2007,3502.6666666666665
bulgarisch,2008,4160.416666666667
bulgarisch,2009,4777.083333333333
bulgarisch,2010,5620.166666666667
bulgarisch,2011,6723.916666666667
bulgarisch,2012,8238.333333333334
bulgarisch,2013,9265
bulgarisch,2014,10339.416666666666
bulgarisch,2015,11678.75
bulgarisch,2016,12612.083333333334
bulgarisch,2017,12722.5
bulgarisch,2018,12305.454545454546
bulgarisch,2019,12972.75
bulgarisch,2020,13453
bulgarisch,2021,13676.666666666666
bulgarisch,2022,14159.833333333334
bulgarisch,2023,14280.666666666666
bulgarisch,2024,14465.25
französisch,2000,6057.083333333333
französisch,2001,6397.583333333333
französisch,2002,6315
französisch,2003,6524.25
französisch,2004,6392.583333333333
französisch,2005,6713.25
französisch,2006,7029.083333333333
französisch,2007,7314.916666666667
französisch,2008,7526.583333333333
französisch,2009,7315.75
französisch,2010,7460.833333333333
französisch,2011,7886.25
französisch,2012,8456.75
französisch,2013,8927.416666666666
französisch,2014,9477.833333333334
französisch,2015,10340.75
französisch,2016,10811.583333333334
französisch,2017,10739.166666666666
französisch,2018,10106.181818181818
französisch,2019,10430.166666666666
französisch,2020,10611.166666666666
französisch,2021,10617.333333333334
französisch,2022,10400.083333333334
französisch,2023,10070.916666666666
französisch,2024,10046.333333333334
griechisch,2000,23190
griechisch,2001,23590.5
griechisch,2002,23297.166666666668
griechisch,2003,23447.916666666668
griechisch,2004,22911.916666666668
griechisch,2005,22598.166666666668
griechisch,2006,22322.166666666668
griechisch,2007,21952.25
griechisch,2008,21656.5
griechisch,2009,20297.916666666668
griechisch,2010,20197.833333333332
griechisch,2011,21325.75
griechisch,2012,23387.833333333332
griechisch,2013,24949
griechisch,2014,26060.833333333332
griechisch,2015,26779.666666666668
griechisch,2016,27256.5
griechisch,2017,27158.333333333332
griechisch,2018,26456.090909090908
griechisch,2019,26582.666666666668
griechisch,2020,26613.083333333332
griechisch,2021,26284.333333333332
griechisch,2022,25691.833333333332
griechisch,2023,25065
griechisch,2024,24741.583333333332
insgesamt,2000,88904.5
insgesamt,2001,90553.41666666667
insgesamt,2002,88541.16666666667
insgesamt,2003,89067
insgesamt,2004,100090
insgesamt,2005,109688.5
insgesamt,2006,113101.08333333333
insgesamt,2007,124435.08333333333
insgesamt,2008,128186.58333333333
insgesamt,2009,124813
insgesamt,2010,127464.91666666667
insgesamt,2011,137271.41666666666
insgesamt,2012,151554.16666666666
insgesamt,2013,176425.66666666666
insgesamt,2014,201877.08333333334
insgesamt,2015,215768.41666666666
insgesamt,2016,224269.33333333334
insgesamt,2017,223586
insgesamt,2018,216060.81818181818
insgesamt,2019,219009.66666666666
insgesamt,2020,216394.5
insgesamt,2021,214854
insgesamt,2022,211482.16666666666
insgesamt,2023,206868.83333333334
insgesamt,2024,205515.75
italienisch,2000,22028.75
italienisch,2001,22252.333333333332
italienisch,2002,21609.916666666668
italienisch,2003,21606.583333333332
italienisch,2004,20855.666666666668
italienisch,2005,20805.916666666668
italienisch,2006,20869.166666666668
italienisch,2007,20976.583333333332
italienisch,2008,21127.5
italienisch,2009,20742.916666666668
italienisch,2010,20844.833333333332
italienisch,2011,21334.333333333332
italienisch,2012,22374.583333333332
italienisch,2013,23737.833333333332
italienisch,2014,25220.583333333332
italienisch,2015,26708.166666666668
italienisch,2016,27828.416666666668
italienisch,2017,27951.166666666668
italienisch,2018,27442.363636363636
italienisch,2019,28164.833333333332
italienisch,2020,28451.416666666668
italienisch,2021,28376.25
italienisch,2022,28363
italienisch,2023,28174.916666666668
italienisch,2024,28451.416666666668
kroatisch,2000,21795.083333333332
kroatisch,2001,24489.833333333332
kroatisch,2002,24944.916666666668
kroatisch,2003,25295.583333333332
kroatisch,2004,25159.833333333332
kroatisch,2005,25021.75
kroatisch,2006,24781.5
kroatisch,2007,24628.333333333332
kroatisch,2008,24504
kroatisch,2009,23845.666666666668
kroatisch,2010,23715.166666666668
kroatisch,2011,23799.166666666668
kroatisch,2012,23940.416666666668
kroatisch,2013,24825.75
kroatisch,2014,27759
kroatisch,2015,31482.666666666668
kroatisch,2016,34530.916666666664
kroatisch,2017,36366
kroatisch,2018,37540.90909090909
kroatisch,2019,38546.666666666664
kroatisch,2020,38888.25
kroatisch,2021,39089.083333333336
kroatisch,2022,38769.5
kroatisch,2023,37985.5
kroatisch,2024,37249.833333333336
polnisch,2000,6563.083333333333
polnisch,2001,6802.083333333333
polnisch,2002,7535.166666666667
polnisch,2003,7968.166666666667
polnisch,2004,9136.083333333334
polnisch,2005,11168.333333333334
polnisch,2006,13240.25
polnisch,2007,14833.083333333334
polnisch,2008,15313.416666666666
polnisch,2009,14046.083333333334
polnisch,2010,14217.666666666666
polnisch,2011,15939.083333333334
polnisch,2012,17912.166666666668
polnisch,2013,19391.75
polnisch,2014,20602.666666666668
polnisch,2015,21699.25
polnisch,2016,21745
polnisch,2017,20809.583333333332
polnisch,2018,19269.272727272728
polnisch,2019,19003
polnisch,2020,18836.75
polnisch,2021,18458.5
polnisch,2022,17708.583333333332
polnisch,2023,16994
polnisch,2024,16679
rumänisch,2000,3735.5833333333335
rumänisch,2001,3826
rumänisch,2002,3606.6666666666665
rumänisch,2003,4023.8333333333335
rumänisch,2004,4019.9166666666665
rumänisch,2005,4156
rumänisch,2006,4362.25
rumänisch,2007,4694.583333333333
rumänisch,2008,5795
rumänisch,2009,6232
rumänisch,2010,7124.083333333333
rumänisch,2011,9203.083333333334
rumänisch,2012,11770.583333333334
rumänisch,2013,13651.25
rumänisch,2014,15472.333333333334
rumänisch,2015,17350.583333333332
rumänisch,2016,18455
rumänisch,2017,18593.5
rumänisch,2018,17856.636363636364
rumänisch,2019,18417.083333333332
rumänisch,2020,18781.916666666668
rumänisch,2021,18664.916666666668
rumänisch,2022,18110.083333333332
rumänisch,2023,17281.25
rumänisch,2024,16822
ungarisch,2000,3171.25
ungarisch,2001,3327.5
ungarisch,2002,3426.5
ungarisch,2003,3420.3333333333335
ungarisch,2004,3443.0833333333335
ungarisch,2005,3900.6666666666665
ungarisch,2006,4243.833333333333
ungarisch,2007,4713.666666666667
ungarisch,2008,5297.833333333333
ungarisch,2009,5685.833333333333
ungarisch,2010,6210.333333333333
ungarisch,2011,7017.083333333333
ungarisch,2012,8227.333333333334
ungarisch,2013,9282.5
ungarisch,2014,9903.166666666666
ungarisch,2015,10430.166666666666
ungarisch,2016,10635.5
ungarisch,2017,9848.833333333334
ungarisch,2018,8636.818181818182
ungarisch,2019,8450.5
ungarisch,2020,8325.916666666666
ungarisch,2021,8037.333333333333
ungarisch,2022,7486
ungarisch,2023,7174.75
ungarisch,2024,7094.916666666667
österreichisch,2000,21766.416666666668
österreichisch,2001,21978
österreichisch,2002,21697.75
österreichisch,2003,21692.666666666668
österreichisch,2004,21313.583333333332
österreichisch,2005,21344.833333333332
österreichisch,2006,21432
österreichisch,2007,21571.75
österreichisch,2008,21560.25
österreichisch,2009,20985
österreichisch,2010,20789.916666666668
österreichisch,2011,20929.583333333332
österreichisch,2012,21196.833333333332
österreichisch,2013,21443.75
österreichisch,2014,21658.416666666668
österreichisch,2015,21839.833333333332
österreichisch,2016,22057.25
österreichisch,2017,21713.416666666668
österreichisch,2018,21031.18181818182
österreichisch,2019,21004.916666666668
österreichisch,2020,20837.666666666668
österreichisch,2021,20460.25
österreichisch,2022,19919.5
österreichisch,2023,19401.083333333332
österreichisch,2024,19199.25
