year,category,count
2024,1 Person,468540
2023,1 Person,461441
2022,1 Person,452585
2021,1 Person,448248
2020,1 Person,449561
2019,1 Person,448732
2018,1 Person,446350
2017,1 Person,442258
2016,1 Person,455931
2015,1 Person,450901
2014,1 Person,440857
2013,1 Person,429124
2012,1 Person,424213
2024,2 Personen,215148
2023,2 Personen,214572
2022,2 Personen,214707
2021,2 Personen,208639
2020,2 Personen,207855
2019,2 Personen,207552
2018,2 Personen,205855
2017,2 Personen,204996
2016,2 Personen,207170
2015,2 Personen,205094
2014,2 Personen,206073
2013,2 Personen,196217
2012,2 Personen,198440
2024,3 Personen,89036
2023,3 Personen,88454
2022,3 Personen,86980
2021,3 Personen,86187
2020,3 Personen,86718
2019,3 Personen,86573
2018,3 Personen,85504
2017,3 Personen,84337
2016,3 Personen,84028
2015,3 Personen,82954
2014,3 Personen,82100
2013,3 Personen,82336
2012,3 Personen,80057
2024,4 Personen,66529
2023,4 Personen,65958
2022,4 Personen,65157
2021,4 Personen,64931
2020,4 Personen,64532
2019,4 Personen,63859
2018,4 Personen,62595
2017,4 Personen,61496
2016,4 Personen,60859
2015,4 Personen,59446
2014,4 Personen,57787
2013,4 Personen,57432
2012,4 Personen,55743
2024,5 Personen und mehr,24081
2023,5 Personen und mehr,23971
2022,5 Personen und mehr,26629
2021,5 Personen und mehr,25921
2020,5 Personen und mehr,25876
2019,5 Personen und mehr,25912
2018,5 Personen und mehr,25543
2017,5 Personen und mehr,25033
2016,5 Personen und mehr,24822
2015,5 Personen und mehr,24511
2014,5 Personen und mehr,22982
2013,5 Personen und mehr,24176
2012,5 Personen und mehr,23426
