year,household_group,count
2012,One person,424213
2012,Three or more persons,159226
2012,Two persons,198440
2013,One person,429124
2013,Three or more persons,163944
2013,Two persons,196217
2014,One person,440857
2014,Three or more persons,162869
2014,Two persons,206073
2015,One person,450901
2015,Three or more persons,166911
2015,Two persons,205094
2016,One person,455931
2016,Three or more persons,169709
2016,Two persons,207170
2017,One person,442258
2017,Three or more persons,170866
2017,Two persons,204996
2018,One person,446350
2018,Three or more persons,173642
2018,Two persons,205855
2019,One person,448732
2019,Three or more persons,176344
2019,Two persons,207552
2020,One person,449561
2020,Three or more persons,177126
2020,Two persons,207855
2021,One person,448248
2021,Three or more persons,177039
2021,Two persons,208639
2022,One person,452585
2022,Three or more persons,178766
2022,Two persons,214707
2023,One person,461441
2023,Three or more persons,178383
2023,Two persons,214572
2024,One person,468540
2024,Three or more persons,179646
2024,Two persons,215148
