year,household_group,count,total_households,percentage
2012,1 Person,424213,781879,54.25558174602464
2012,2 Personen,198440,781879,25.379886146066077
2012,3+ Personen,159226,781879,20.36453210790928
2013,1 Person,429124,789285,54.368700786154555
2013,2 Personen,196217,789285,24.86009489601348
2013,3+ Personen,163944,789285,20.771204317831963
2014,1 Person,440857,809799,54.4402993829333
2014,2 Personen,206073,809799,25.447425842709116
2014,3+ Personen,162869,809799,20.112274774357587
2015,1 Person,450901,822906,54.793743149278285
2015,2 Personen,205094,822906,24.923138244222304
2015,3+ Personen,166911,822906,20.283118606499407
2016,1 Person,455931,832810,54.746100551146114
2016,2 Personen,207170,832810,24.876022141905114
2016,3+ Personen,169709,832810,20.377877306948765
2017,1 Person,442258,818120,54.05783992568327
2017,2 Personen,204996,818120,25.05695985918936
2017,3+ Personen,170866,818120,20.885200215127362
2018,1 Person,446350,825847,54.047541493763376
2018,2 Personen,205855,825847,24.926529974680538
2018,3+ Personen,173642,825847,21.025928531556087
2019,1 Person,448732,832628,53.893455420668055
2019,2 Personen,207552,832628,24.92733849930581
2019,3+ Personen,176344,832628,21.179206080026134
2020,1 Person,449561,834542,53.869188129536916
2020,2 Personen,207855,834542,24.906475647720548
2020,3+ Personen,177126,834542,21.224336222742537
2021,1 Person,448248,833926,53.75153191050524
2021,2 Personen,208639,833926,25.01888656787293
2021,3+ Personen,177039,833926,21.229581521621824
2022,1 Person,452585,846058,53.4933775225812
2022,2 Personen,214707,846058,25.377338196672095
2022,3+ Personen,178766,846058,21.12928428074671
2023,1 Person,461441,854396,54.00786052369158
2023,2 Personen,214572,854396,25.11388161929597
2023,3+ Personen,178383,854396,20.87825785701244
2024,1 Person,468540,863334,54.27100056293392
2024,2 Personen,215148,863334,24.920598516912342
2024,3+ Personen,179646,863334,20.80840092015373
