MONATSZAHL,year,mean_value
Wanderungssaldo,2000,833.1111111111111
Wanderungssaldo,2001,668.3333333333334
Wanderungssaldo,2002,62.11111111111098
Wanderungssaldo,2003,17.166666666666604
Wanderungssaldo,2004,579.5555555555554
Wanderungssaldo,2005,829.5555555555555
Wanderungssaldo,2006,603.0555555555554
Wanderungssaldo,2007,1118.388888888889
Wanderungssaldo,2008,862.2222222222223
Wanderungssaldo,2009,9.444444444444413
Wanderungssaldo,2010,1063.277777777778
Wanderungssaldo,2011,1596.722222222222
Wanderungssaldo,2012,1292.1666666666667
Wanderungssaldo,2013,968.5
Wanderungssaldo,2014,1323.277777777778
Wanderungssaldo,2015,1488.6111111111115
Wanderungssaldo,2016,787.111111111111
Wanderungssaldo,2017,-1340.4444444444443
Wanderungssaldo,2018,474.22222222222194
Wanderungssaldo,2019,602.2222222222218
Wanderungssaldo,2020,-192.33333333333343
Wanderungssaldo,2021,-305.777777777778
Wanderungssaldo,2022,1208.8888888888885
Wanderungssaldo,2023,-167.05555555555566
Wanderungssaldo,2024,634
Weggezogene,2000,4420.555555555556
Weggezogene,2001,4742.777777777777
Weggezogene,2002,5095.333333333334
Weggezogene,2003,4746.333333333334
Weggezogene,2004,4577.055555555556
Weggezogene,2005,4183
Weggezogene,2006,4529.722222222223
Weggezogene,2007,4242.222222222223
Weggezogene,2008,4586.277777777777
Weggezogene,2009,5550.111111111111
Weggezogene,2010,4692.611111111111
Weggezogene,2011,4678.111111111111
Weggezogene,2012,5163.833333333334
Weggezogene,2013,5995.166666666666
Weggezogene,2014,5582.833333333334
Weggezogene,2015,5449.666666666666
Weggezogene,2016,5921
Weggezogene,2017,7635.5
Weggezogene,2018,5852.722222222223
Weggezogene,2019,5553.388888888889
Weggezogene,2020,5217.833333333334
Weggezogene,2021,6092.611111111111
Weggezogene,2022,6183.333333333334
Weggezogene,2023,6519.444444444444
Weggezogene,2024,5209.5
Zugezogene,2000,5253.666666666666
Zugezogene,2001,5411.111111111111
Zugezogene,2002,5157.444444444444
Zugezogene,2003,4763.5
Zugezogene,2004,5156.611111111111
Zugezogene,2005,5012.555555555556
Zugezogene,2006,5132.777777777777
Zugezogene,2007,5360.611111111111
Zugezogene,2008,5448.5
Zugezogene,2009,5559.555555555556
Zugezogene,2010,5755.888888888889
Zugezogene,2011,6274.833333333334
Zugezogene,2012,6456
Zugezogene,2013,6963.666666666666
Zugezogene,2014,6906.111111111111
Zugezogene,2015,6938.277777777777
Zugezogene,2016,6708.111111111111
Zugezogene,2017,6295.055555555556
Zugezogene,2018,6326.944444444444
Zugezogene,2019,6155.611111111111
Zugezogene,2020,5025.5
Zugezogene,2021,5786.833333333334
Zugezogene,2022,7392.222222222223
Zugezogene,2023,6352.388888888888
Zugezogene,2024,5843.5
