_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
1,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202501,38315,37808,-0.16,1.34,38080
2,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202502,38335,37865,0.05,1.24,38120
3,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202503,38395,37853,0.16,1.43,38165
4,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202504,38391,37910,-0.01,1.27,38205
5,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202505,38337,37830,-0.14,1.34,38247
6,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202506,38293,37819,-0.11,1.25,38287
7,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202507,38265,37958,-0.07,0.81,38312
8,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202508,38353,38091,0.23,0.69,38334
9,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202509,,38244,,,
10,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202510,,38336,,,
11,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202511,,38368,,,
12,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2025,202512,,38375,,,
13,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202401,37808,37119,0.17,1.86,37447
14,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202402,37865,37116,0.15,2.02,37509
15,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202403,37853,37095,-0.03,2.04,37572
16,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202404,37910,37125,0.15,2.11,37638
17,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202405,37830,37099,-0.21,1.97,37698
18,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202406,37819,37149,-0.03,1.8,37754
19,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202407,37958,37357,0.37,1.61,37804
20,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202408,38091,37471,0.35,1.65,37856
21,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202409,38244,37792,0.4,1.2,37894
22,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202410,38336,37829,0.24,1.34,37936
23,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202411,38368,37775,0.08,1.57,37985
24,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2024,202412,38375,37742,0.02,1.68,38038
25,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2023,202301,37119,35270,0.06,5.24,36528
26,Altersgruppen,Berufsschulpflichtige (15 bis 17 Jahre),2023,202302,37116,35325,-0.01,5.07,36677
